   58073.56278856   28.9213    0.1196  1
   58103.41726043   29.0872    0.1358  1
   58112.41795997   29.0684    0.1306  1
   58112.64763608   29.0119    0.0966  1
   58113.42786954   28.8675    0.1017  1
   58114.38938877   29.1748    0.1296  1
   58114.54165198   29.2274    0.1025  1
   58114.63722001   29.3908    0.1274  1
   58115.40316430   28.8845    0.1320  1
   58115.55094230   28.8900    0.1512  1
   58123.39303430   28.9230    0.0753  1
   58129.35491797   29.1592    0.0805  1
   58129.53696837   29.1604    0.0599  1
   58133.39617207   28.9090    0.0948  1
   58133.57782446   29.0075    0.1015  1
   58187.35731085   29.0897    0.0843  1
   58188.38929426   29.1007    0.0879  1
   58189.36975980   28.8715    0.0699  1 
